Title,Name,Datetime,Location
Synchronized Sprite And GLM Satellite Dat,Frankie Lucena,Apr 6 12:23am,"Cabo Rojo, Puerto Rico",PRI,PRI
Comet Leonard And A Sprite - Gemini Obser,Frankie Lucena,Dec 23 3:31am,Gemini Observatory in Hawaii,USA,USA
Red Sprites,paul smith,Oct 18 7:30pm,Oklahoma,USA,USA
Red Sprites,Valter Binotto,Aug 18 8:05pm,"possagno, TV Italy",ITA,ITA
Sprites And A Gigantic Jet Over TS Grace,Frankie Lucena,Aug 17 11:33pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites And Perseid Meteor,Stephen Hummel,Aug 9 8:59pm,"McDonald Observatory, TX",ZAF,ZAF
Sprite Sightings,Petr Horalek,Jul 15 6:01pm,Proseč,CZE,CZE
"Red Sprite,  Elve?",Thorsten Boeckel,Jul 11 1:57am,"Fürstenfeldbruck, Germany",DEU,DEU
Red Sprites ,Martin Popek,Jul 2 5:24pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites And Fluctuations In The Ionos,Martin Popek,May 21 1:23pm,"Nýdek, Czech republic",CZE,CZE
Close Encounter With A Sprite,Frankie Lucena,Apr 29 9:28am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites,paul smith,Apr 7 6:41am,Pawhuska Oklahoma,USA,USA
Gemini Meteor Shower 2020 &amp;　sprite,KIYOHIKO OIKAWA,Jan 21 2:42pm,tochigi prefecture japan ,JPN,JPN
Early Geminid Meteors And A Sprite,Frankie Lucena,Dec 12 11:50pm,"Cabo Rojo,Puerto Rico",PRI,PRI
"Red Sprites, Tiger Elves And Meteors",Martin Popek,Dec 10 2:02pm,"Nýdek, Czech republic",CZE,CZE
Sprite-Halo With Feet And A Red Sprite,Frankie Lucena,Oct 6 12:25am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites Jellyfish And Ghost,Christophe SUAREZ,Oct 1 2:22pm,Genoa (Italy),ITA,ITA
Red Sprites And Sprites Halo,Martin Popek,Sep 26 10:14am,"Nýdek, Czech republic",CZE,CZE
"Red Sprites, Green Ghost",Stephen Hummel,Jun 21 8:35pm,"McDonald Observatory, TX",ZAF,ZAF
Red Sprites ,Martin Popek,Jun 15 1:12pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Daniel Ščerba,Jun 13 11:19am,Czech Republic,CZE,CZE
Jellyfish Sprites,Michael Gavan,May 24 9:56am,"Bethune, Colorado",USA,USA
Red Sprite,Ren Chuanfeng Zhou Kun,May 17 3:46pm,"Shandong Qingdao,China",CHN,CHN
"Red Sprites, Airglow",Stephen Hummel,May 14 7:44pm,"McDonald Observatory, TX",ZAF,ZAF
Red Sprites,paul smith,Apr 17 6:24am,"Edmond, Oklahoma",USA,USA
New TLE Chart: Red Sprite - Gigantic Jet ,Frankie Lucena,Mar 2 7:15pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites And Sprites Halo,Martin Popek,Nov 25 2:42pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,paul smith,Oct 22 2:50pm,"Edmond, Oklahoma",USA,USA
Red Sprites And Trolls,martin popek,Aug 18 11:36am,"Nýdek, Czech republic",CZE,CZE
Red Sprites In High Definition,Roger Spinner,Aug 15 4:49am,"Montsevelier, Switzerland",CHE,CHE
Perseids And Jellyfis Sprites,martin popek,Aug 12 4:52pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,paul smith,Aug 12 4:26pm,"Edmond, Oklahoma",USA,USA
"Tiger Elves, Sprites Halo And Red Sprites",martin popek,Aug 4 6:55pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,martin popek,Jul 29 4:11pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Valter Binotto,Jul 9 9:05pm,"Possagno, TV ",ITA,ITA
"UNKNOWN , Sprite ",jghops,Jun 28 10:51pm,"El Bito Partito, AL",ARE,ARE
Red Sprite Lightning / Jets,Paul Smith,Jun 20 3:33pm,"Lake Thunderbird , Oklahoma",USA,USA
Red Sprites Captured By The ISS,Frankie Lucena,Jun 14 7:06pm,International Space Station,IND,IND
Red Sprites,martin popek,Jun 12 9:13am,"Nýdek, Czech republic",CZE,CZE
Red Sprites Over Czech Republic And Germa,Daniel Ščerba,Jun 11 6:45pm,Czech Republic,CZE,CZE
Red Sprites,Thorsten Boeckel,Jun 9 11:14am,Fuerstenfeldbruck/Germany,DEU,DEU
Red Sprite,Zhou Kun,Jun 9 2:09am,"zibo,shandong,China",CHN,CHN
Red Sprites,Martin Popek,May 12 10:25am,"Nýdek, Czech republic",CZE,CZE
Red Sprite Lightning,Paul Smith,Apr 18 1:49pm,Anadarko Oklahoma,USA,USA
Red Sprites Over Adriatic Sea,Daniel Ščerba,Jan 15 5:27pm,Czech Republic,CZE,CZE
Bright Halo - Sprites - Gigantic Jet Ligh,Frankie Lucena,Nov 12 12:56am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprite,Gabriel Zaparolli,Nov 4 12:56am,"Torres, Rio Grande do Sul, Braz",BRA,BRA
"Red Sprite, TLE",Roger Spinner,Oct 31 9:46pm,"Montsevelier, Switzerland",CHE,CHE
Red Sprite Lightning,Paul Smith,Oct 9 7:50pm,Minco Oklahoma,USA,USA
Sprites,Kevin Palivec,Oct 5 4:30pm,"Hawley, Tx",USA,USA
Sprites Before Gordon Became A Tropical S,Frankie Lucena,Sep 4 1:19am,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites And ELVES,Ilya Jankowsky,Aug 18 5:31pm,"Irbit, Sverdlovsk Oblast, Russi",RUS,RUS
Red Sprites And Meteors,martin popek,Aug 18 9:16am,"Nýdek, Czech republic",CZE,CZE
Red Sprites And Meteors,martin popek,Aug 15 12:45pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites And Milky Way In The Swiss Al,Adrien Mauduit,Aug 15 12:10pm,"Emosson lake, Valais, Switzerla",CHE,CHE
Red Sprites,martin popek,Aug 8 5:50pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites Over South Austria,Daniel Ščerba,Aug 8 1:28pm,Czech Republic,CZE,CZE
"Red Sprites, Moon An Jupiter",martin popek,Jul 24 12:42pm,"Nýdek, Czech republic",CZE,CZE
Bifurcating Sequence Of Sprites,martin popek,Jul 21 7:26am,"Nýdek, Czech republic",CZE,CZE
Red Sprites And Sprites Halo,martin popek,Jul 17 1:56pm,"Nýdek, Czech republic",CZE,CZE
Red Sprite Lightning,Paul Smith,Jul 15 5:03pm,"Kaw Lake , Oklahoma",USA,USA
Sprite With M31 Galaxy And Airglow,Brian Whittaker,Jun 19 9:33pm,"near Denver, Colorado, USA",USA,USA
Red Sprites!!!! 1st Time Captured In New ,Larryn Rae,Jun 17 9:35am,Te Arai Beach New Zealand,NZL,NZL
Sprites,Kevin Palivec,Jun 13 4:36pm,"Hawley, Tx",USA,USA
Sprite And Andromeda Galaxy,Petr Horálek,Jun 11 2:49pm,"Proseč, Czech Republic",CZE,CZE
Red Sprites,martin popek,Jun 9 11:21am,"Nýdek, Czech republic",CZE,CZE
Red Sprite Lightning,Paul Smith,Jun 1 8:49pm,"Edmond, Oklahoma, USA",USA,USA
Red Sprite Lightning,Paul Smith,May 25 12:40pm,"Edmond, Oklahoma, USA",USA,USA
Red Sprites Under A Starry Sky,Frankie Lucena,May 24 6:42am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites Over North Italy,Thorsten Boeckel,May 11 5:07pm,"Fuerstenfeldbruck, Germany",DEU,DEU
Red Sprites,Jingpeng Liu,May 9 7:06pm,"Hickman, Nebraska, USA",USA,USA
Red Sprite,Ujvárosi Beáta,May 3 10:23pm,"Szerencs, Hungary",HUN,HUN
Sprite-Halo And 3 Gigantic Jets - Stacked,Frankie Lucena,Apr 22 12:01am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites And The Pleiades Star Cluster,martin popek ,Apr 6 11:39am,"Nýdek, Czech republic",CZE,CZE
More Winter Sprites Near Hawaii,Frankie Lucena,Feb 9 1:07am,"Mauna Kea, Hawaii",USA,USA
Red Sprite Lightning,Paul Smith,Feb 9 1:01am,"Edmond, Oklahoma, USA",USA,USA
Winter Sprites Near Hawaii,Frankie Lucena,Feb 8 10:08pm,Gemini Observatory/AURA in Hawa,KOR,KOR
Red Sprites,Red sprites in the snow-covered landscape and illuminated fuull Moon. ,Dec 2 10:42am,"Nýdek, Czech republic",CZE,CZE
"Red Sprites, Lightning, Zodiacal Lights, ",Adrien Mauduit,Nov 22 9:17am,"La Palma, Canarias, Spain",ESP,ESP
Red Sprites Over Hawaiian Islands...with ,Steve Cullen,Oct 13 10:22pm,"Orting, WA",USA,USA
Sprites / Sprites Halos,Gabriel Zaparolli,Sep 1 7:04pm,"Torres, Rio Grande do Sul, Braz",BRA,BRA
Red Sprites,Thorsten Boeckel,Aug 31 12:44pm,Fuerstenfeldbruck / Germany,DEU,DEU
Red Sprites And Moon,martin popek,Aug 27 9:34am,"Nýdek, Czech republic",CZE,CZE
Red Sprites,martin popek,Aug 27 9:33am,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Ondrej Kralik,Aug 23 3:24pm,"Povazska Bystrica, Slovakia",SVK,SVK
Sprites,Ilya Jankowsky,Aug 7 5:23pm,"Irbit, Sverdlovsk Oblast, Russi",RUS,RUS
Red Sprites And Sprites Halo,martin popek,Jul 22 8:37am,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Piotr Koziana,Jul 7 12:32pm,"near Worthing, UK",GBR,GBR
Red Sprites And Troll Jets,martin popek,Jul 5 10:49am,"Nýdek, Czech republic",CZE,CZE
Red Sprite,Karoly Jonas,Jun 30 1:38am,Budapest - Hungary,HUN,HUN
The Dawn Red Sprite,Petr Horálek,Jun 28 12:38pm,"Klokocov, Czech Republic",CZE,CZE
Red Sprites Over Austria,Thorsten Boeckel,Jun 25 9:38pm,Fuerstenfeldbruck/Germany ,DEU,DEU
Red Sprites,Thorsten Boeckel,Jun 25 9:34pm,Fuerstenfeldbruck/Germany ,DEU,DEU
Red Sprites,martin popek,Jun 25 1:59pm,"Nýdek, Czech republic",CZE,CZE
A Sprites. ¡¡¡¡,Salvador Aguirre,Jun 23 5:26pm,"Sonora, Mexico",MEX,MEX
Red Sprites And Sprites Halo,martin popek,Jun 21 2:20pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Thorsten Boeckel,Jun 19 11:07am," Maisach, Fuerstenfeldbruck, Ge",DEU,DEU
Red Sprites And Sprites Halo,martin popek,Jun 3 1:02pm,"Nýdek, Czech republic",CZE,CZE
Red Sprite,Karoly Jonas,Jun 1 4:38pm,Budapest - Hungary,HUN,HUN
Red Sprites,martin popek,May 31 10:06am,"Nýdek, Czech republic",CZE,CZE
Sprites,Laura Kranich,May 21 6:48pm,"Ziethen, Brandenburg, Germany",DEU,DEU
"Elves, Red Sprites And Orion",martin popek,Apr 5 2:04pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,martin popek,Mar 11 10:45am,"Nýdek, Czech republic",CZE,CZE
Proton Arc With Sprites,Scott  Wight,Mar 5 8:39am,"Kodiak Island, Alaska",USA,USA
Auroras Laced With Pillars &amp; Sprites,Frederic Hore,Mar 5 4:13am,"10 km North Riviére Rouge, Que",CAN,CAN
Beautiful Display Of Auroral Sprites,Ian Griffin,Mar 3 8:22pm,"Hoopers Inlet, Otago, NZ",NZL,NZL
Sprites,Gabriel Zaparolli,Feb 6 5:20pm,"Torres, Rio Grande do Sul, Braz",BRA,BRA
Sprites,Gabriel Zaparolli,Jan 11 12:29am,"Torres,Rio Grande do Sul,Brazil",BRA,BRA
