Title,Name,Date,Time,Location,Lat,Long,Report
Sprite Over Tropical Storm Nicole,Frankie Lucena,2022-11-08,7:43pm,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=190063
Sprite-Halo Event South Of Puerto Rico,Frankie Lucena,2022-10-29,3:45am,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=189720
Dancing Sprites Near Puerto Rico,Frankie Lucena,2022-08-21,10:24pm,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=187821
Red Sprite And Aurora Borealis,Douglas Kiesling,2022-07-23,10:35am,"St Cloud, MN",45.5616075,-94.1642004,https://spaceweathergallery.com/indiv_upload.php?upload_id=187062
Auroras And Red Sprites,Kalyky,2022-07-05,11:55am,"Kinsey, Montana, USA",46.5708375,-105.6569427,https://spaceweathergallery.com/indiv_upload.php?upload_id=186448
Synchronized Sprite And GLM Satellite Dat,Frankie Lucena,2020-04-06,12:23am,"Cabo Rojo, Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=183605
Red Sprites,paul smith,2021-10-18,7:30pm,Oklahoma,34.9550817,-97.2684063,https://spaceweathergallery.com/indiv_upload.php?upload_id=178764
Sprites And A Gigantic Jet Over TS Grace,Frankie Lucena,2021-08-17,11:33pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=177191
Red Sprites And Perseid Meteor,Stephen Hummel,2021-08-09,8:59pm,"McDonald Observatory, TX",30.6758212,-104.02058383636867,https://spaceweathergallery.com/indiv_upload.php?upload_id=176931
Close Encounter With A Sprite,Frankie Lucena,2021-04-29,9:28am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=174161
Red Sprites,paul smith,2021-04-07,6:41am,Pawhuska Oklahoma,36.6678426,-96.3372309,https://spaceweathergallery.com/indiv_upload.php?upload_id=173558
Early Geminid Meteors And A Sprite,Frankie Lucena,2020-12-12,11:50pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=170474
Sprite-Halo With Feet And A Red Sprite,Frankie Lucena,2020-10-06,12:25am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=168570
"Red Sprites, Green Ghost",Stephen Hummel,2020-06-21,8:35pm,"McDonald Observatory, TX",30.6758212,-104.02058383636867,https://spaceweathergallery.com/indiv_upload.php?upload_id=163783
Jellyfish Sprites,Michael Gavan,2020-05-24,9:56am,"Bethune, Colorado",39.3041624,-102.4246395,https://spaceweathergallery.com/indiv_upload.php?upload_id=162644
"Red Sprites, Airglow",Stephen Hummel,2020-05-14,7:44pm,"McDonald Observatory, TX",30.6758212,-104.02058383636867,https://spaceweathergallery.com/indiv_upload.php?upload_id=162310
Red Sprites,paul smith,2020-04-17,6:24am,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=161400
New TLE Chart: Red Sprite - Gigantic Jet,Frankie Lucena,2020-03-02,7:15pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=159728
Red Sprites,paul smith,2019-10-22,2:50pm,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=156983
Red Sprites,paul smith,2019-08-12,4:26pm,"Edmond, Oklahoma",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=155464
Red Sprite Lightning / Jets,Paul Smith,2019-06-20,3:33pm,"Lake Thunderbird , Oklahoma",35.24576225,-97.2326598612916,https://spaceweathergallery.com/indiv_upload.php?upload_id=154490
Red Sprites Captured By The ISS,Frankie Lucena,2019-06-14,7:06pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=154263
Red Sprite Lightning,Paul Smith,2019-04-18,1:49pm,Anadarko Oklahoma,35.0725323,-98.243981,https://spaceweathergallery.com/indiv_upload.php?upload_id=153138
Bright Halo - Sprites - Gigantic Jet Ligh,Frankie Lucena,2018-11-12,12:56am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=149191
Red Sprite Lightning,Paul Smith,2018-10-09,7:50pm,Minco Oklahoma,35.3124244,-97.9430133,https://spaceweathergallery.com/indiv_upload.php?upload_id=148567
Sprites,Kevin Palivec,2018-10-05,4:30pm,"Hawley, Tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=148433
Sprites Before Gordon Became A Tropical S,Frankie Lucena,2018-09-04,1:19am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=147725
Red Sprite Lightning,Paul Smith,2018-07-15,5:03pm,"Kaw Lake , Oklahoma",36.78007325,-96.89552486816473,https://spaceweathergallery.com/indiv_upload.php?upload_id=146135
Sprite With M31 Galaxy And Airglow,Brian Whittaker,2018-06-19,9:33pm,"near Denver, Colorado, USA",39.72648215,-105.02397708903945,https://spaceweathergallery.com/indiv_upload.php?upload_id=145353
Sprites,Kevin Palivec,2018-06-13,4:36pm,"Hawley, Tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=145173
Red Sprite Lightning,Paul Smith,2018-06-01,8:49pm,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=144953
Red Sprite Lightning,Paul Smith,2018-05-25,12:40pm,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=144763
Red Sprites Under A Starry Sky,Frankie Lucena,2016-05-24,6:42am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=144736
Red Sprites,Jingpeng Liu,2018-05-09,7:06pm,"Hickman, Nebraska, USA",40.6199714,-96.6323776,https://spaceweathergallery.com/indiv_upload.php?upload_id=144422
Sprite-Halo And 3 Gigantic Jets - Stacked,Frankie Lucena,2017-04-22,12:01am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=144071
More Winter Sprites Near Hawaii,Frankie Lucena,2018-02-09,1:07am,"Mauna Kea, Hawaii",19.8206673,-155.4680718,https://spaceweathergallery.com/indiv_upload.php?upload_id=142536
Red Sprite Lightning,Paul Smith,2017-02-09,1:01am,"Edmond, Oklahoma, USA",35.6571367,-97.4649038,https://spaceweathergallery.com/indiv_upload.php?upload_id=142533
Red Sprites Over Hawaiian Islands...with,Steve Cullen,2017-10-13,10:22pm,"Orting, WA",47.0978795,-122.2042824,https://spaceweathergallery.com/indiv_upload.php?upload_id=139934
Proton Arc With Sprites,Scott Wight,2017-03-05,8:39am,"Kodiak Island, Alaska",57.5433765,-153.3574124,https://spaceweathergallery.com/indiv_upload.php?upload_id=133571
Winter Sprites Near Puerto Rico,Frankie Lucena,2016-12-21,7:26pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=131630
Sprites Under A Waning Supermoon,Frankie Lucena,2016-11-17,7:33am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=130888
Gravity Waves And Sprite Over Hurricane M,Frankie Lucena,2016-10-04,10:42pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129854
Red Sprites Generated By Hurricane Mathew,Frankie Lucena,2016-10-01,8:22pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129751
Hurricane Mathew Sprites,Frankie Lucena,2016-10-01,5:03pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129746
Sprites Between The Clouds,Frankie Lucena,2016-09-20,10:19pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129480
Huge Jellyfish Sprite And Halo Above The,Frankie Lucena,2016-09-18,5:46pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=129448
Sprites,Jan Curtis,2016-09-05,4:46am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=129115
Sprites,Jan Curtis,2016-09-03,4:38am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128995
Red Sprite Lightning: GIF,Frankie Lucena,2016-08-31,2:32am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=128884
Angelic Red Sprite Over The Caribbean,Frankie Lucena,2016-08-28,9:31am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=128764
Persied Meteors And Sprites!,Kevin Palivec,2016-08-12,1:25pm,"Hawley, Texas",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=128225
Meteors And Sprites,Mike,2016-08-11,6:32pm,Missouri Valley Iowa,41.5564975,-95.8879438,https://spaceweathergallery.com/indiv_upload.php?upload_id=128172
Sprites,Mike Daniels,2016-08-10,3:21am,Hamilton Montana USA,46.2561815,-114.15464243514151,https://spaceweathergallery.com/indiv_upload.php?upload_id=128124
Sprites,Jan Curtis,2016-08-08,6:18pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128089
Sprites,Jan Curtis,2016-08-08,6:16pm,"Cheyenne, Wyoming",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128088
Sprites,Jan Curtis,2016-08-08,6:14pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=128087
"Auroras, Sprites, Lightning",Jake Stehli,2016-07-12,9:59am,"Hartford, Wisconsin, USA",43.3177776,-88.378857,https://spaceweathergallery.com/indiv_upload.php?upload_id=127325
Sprites,Jan Curtis,2016-07-07,6:12pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=127182
Sprite,Jan Curtis,2016-07-07,6:00am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=127171
Sprites,Jan Curtis,2016-06-29,6:05am,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=126953
"Mars, Saturn And Sprites Over Puerto Rico",Frankie Lucena,2016-05-02,1:56am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=125093
Sprites And Gigantic Jet,Kevin palivec,2016-04-28,11:57am,"Hawley,tx",32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=125044
Bright Sprite Over The Indian Ocean,Frankie Lucena,2015-04-18,5:11pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=124869
First ISS Photos Of Red Sprites In 2016,Frankie Lucena,2016-03-18,5:57am,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=123701
Sprites - TLES And Our Global Electric C,Frankie Lucena,2016-02-03,7:22pm,International Space Station,29.5517223,-95.0985272,https://spaceweathergallery.com/indiv_upload.php?upload_id=122487
Red Sprite Over Vietnam,Frankie Lucena,2016-01-11,9:32pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=121753
ISS Captures A Sprite On Video Over Texas,Frankie Lucena,2015-11-28,7:01pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=120325
ISS Captures Sprites Over Africa,Frankie Lucena,2015-11-26,9:36pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=120294
Sprites - Blue Starters - Blue Jets - Gig,Frankie Lucena,2015-10-26,9:14pm,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=119328
ISS Captures A Red Sprite Over Mexico,Frankie Lucena,2015-08-16,1:07am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=116350
ISS Captures A Sprite And Troll Jet,Frankie Lucena,2015-08-15,1:18am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=116323
Sprites Above Hurricane Hilda,Steve Cullen,2015-08-12,2:23am,"Waikoloa, HI",19.94256305,-155.78649035477218,https://spaceweathergallery.com/indiv_upload.php?upload_id=116136
Sprites,Jan Curtis,2015-07-29,11:31pm,"Cheyenne, WY",41.139981,-104.820246,https://spaceweathergallery.com/indiv_upload.php?upload_id=115673
