Event,Lat,Long,Date,Time,Report
Event 8877-2022,44.566432359382,-82.873499309285,2022-11-17,01:07 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8877
Event 8876-2022,40.387677291985,-77.850170754952,2022-11-17,00:44 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8876
Event 8875-2022,42.250760221921,-85.877932140791,2022-11-17,00:38 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8875
Event 8804-2022,45.047202969977,-124.23947959713,2022-11-15,06:39 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8804
Event 8802-2022,36.146771004369,-75.546810608252,2022-11-15,03:01 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8802
Event 8803-2022,50.714413855966,-109.2953199904,2022-11-15,02:36 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8803
Event 8801-2022,39.213765753073,-76.446453460543,2022-11-15,02:21 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8801
Event 8796-2022,37.562289581428,-87.316670831172,2022-11-14,23:44 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8796
Event 8787-2022,25.741416618145,-76.911300285795,2022-11-14,21:01 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8787
Event 8740-2022,32.1901171588,-88.756315109859,2022-11-14,02:27 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8740
Event 8734-2022,43.232972400908,-86.595181291784,2022-11-14,01:19 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8734
Event 8736-2022,44.04186230945,-71.456714777164,2022-11-14,00:38 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8736
Event 8698-2022,45.226294533355,-119.38178750016,2022-11-13,11:34 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8698
Event 8687-2022,30.731925292242,-118.70558582951,2022-11-13,07:48 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8687
Event 8676-2022,44.029914565469,-79.643891357681,2022-11-13,04:57 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8676
Event 8666-2022,46.305052024397,-122.90582846608,2022-11-13,01:30 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8666
Event 8664-2022,43.19399351372,-73.162940741996,2022-11-13,01:16 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8664
Event 8624-2022,47.634428259833,-114.64352409586,2022-11-12,05:50 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8624
Event 8614-2022,39.651521533427,-98.678939770572,2022-11-12,03:37 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8614
Event 8593-2022,38.843466740197,-124.6912623022,2022-11-11,12:31 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8593
Event 8590-2022,32.304601255068,-116.18081621705,2022-11-11,11:42 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8590
Event 8572-2022,44.111113447869,-117.3915217473,2022-11-11,06:46 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8572
Event 8565-2022,32.400613976479,-119.211332033,2022-11-11,04:12 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8565
Event 8564-2022,32.083273157715,-100.89567261893,2022-11-11,03:08 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8564
Event 8563-2022,41.737422577017,-72.560560209621,2022-11-11,02:46 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8563
Event 8548-2022,41.357460818068,-74.550981892249,2022-11-11,00:06 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8548
Event 8518-2022,32.628091970191,-114.84475271999,2022-11-10,11:25 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8518
Event 8515-2022,36.621964153337,-76.599446635395,2022-11-10,10:52 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8515
Event 8491-2022,49.747936749494,-98.838022709989,2022-11-10,04:14 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8491
Event 8478-2022,43.042137699907,-107.26491733073,2022-11-10,00:08 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8478
