Title,Name,Date,Time,Location,Lat,Long,Report
Something More Powerful Than A Sprite,Frankie Lucena,12/24/10,2:52am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=91792
Sprites,Mike Bradbury,12/18/13,10:03pm,"Chandler, Arizona USA",33.3061605,-111.84125,https://spaceweathergallery.com/indiv_upload.php?upload_id=91616
Comet Leonard And A Sprite - Gemini Obser,Frankie Lucena,12/23/21,3:31am,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758,-155.4733555,https://spaceweathergallery.com/indiv_upload.php?upload_id=180799
Winter Sprites Near Hawaii,Frankie Lucena,2/8/18,10:08pm,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758,-155.4733555,https://spaceweathergallery.com/indiv_upload.php?upload_id=142519
Sprite,Jan Curtis,7/10/15,4:25pm,"Near Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=115004
Sprite Over Lubbock Texas,Jan Curtis,6/14/15,1:47pm,"11 Miles south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=113528
Sprites,Jan Curtis,6/12/15,5:57pm,"11 south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=113484
Sprite,Jan Curtis,5/15/15,6:26am,"11 Miles S of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=112737
Sprites,Jan Curtis,9/6/14,8:33pm,"11 miles due south of Santa Fe, NM",35.50493203,-105.9367713,https://spaceweathergallery.com/indiv_upload.php?upload_id=101474
Sprite,Harald Edens,7/19/14,7:40am,"801 Leroy Pl, Socorro, NM 87801",34.06623395,-106.9110595,https://spaceweathergallery.com/indiv_upload.php?upload_id=99619
